scientific_name,Bryce National Park,Great Smoky Mountains National Park,Yellowstone National Park,Yosemite National Park
Contopus borealis,80,80,212,128
Contopus cooperi,130,40,243,150
Contopus sordidulus,143,172,472,244
Contopus virens,110,58,251,128
Convallaria majalis,105,65,242,141
Convallaria majuscula,111,79,235,163
Convallaria montana,79,90,235,165
Convolvulus arvensis,77,56,270,163
Conyza canadensis,166,135,485,271
Coragyps atratus,90,61,286,150
Corallorhiza maculata,91,86,267,164
Corallorhiza odontorhiza,128,83,251,153
Corallorhiza wisteriana,94,67,258,150
Corallorrhiza maculata,128,54,223,112
Corallorrhiza mertensiana,107,44,249,118
Corallorrhiza odontorhiza,101,111,271,139
Corallorrhiza striata,85,69,232,145
Corallorrhiza trifida,116,95,241,146
Corallorrhiza wisteriana,195,161,521,320
Cordylanthus rigidus ssp. brevibracteatus,95,68,260,135
Cordylanthus rigidus ssp. rigidus,116,30,245,156
Cordylanthus tenuis ssp. tenuis,91,78,267,153
Coreopsis auriculata,101,77,239,140
Coreopsis lanceolata,207,114,530,332
Coreopsis major,101,62,256,145
Coreopsis pubescens,42,51,272,179
Coreopsis tinctoria,86,64,281,161
Coreopsis tripteris,86,61,244,188
Cornus alternifolia,122,61,237,148
Cornus amomum,92,67,253,192
Cornus canadensis,89,98,233,130
Cornus florida,83,38,247,179
Cornus foemina,91,47,260,138
Cornus nuttallii,97,48,281,145
Cornus sericea,100,69,238,162
Cornus sericea ssp. occidentalis,102,67,241,138
Cornus sericea ssp. sericea,81,75,275,185
Coronilla varia,138,99,228,152
Corvus brachyrhynchos,115,46,235,153
Corvus corax,71,58,256,142
Corydalis aurea,9,92,253,141
Corydalis aurea var. aurea,127,53,219,160
Corydalis flavula,76,48,245,152
Corydalis micrantha ssp. australis,117,45,262,159
Corydalis sempervirens,100,96,263,188
Corylus americana,90,75,265,95
Corylus cornuta,106,92,247,156
Corylus cornuta var. californica,83,80,255,158
Corynorhinus rafinesquii,57,80,259,188
Corynorhinus townsendii,226,185,506,294
Coscinodon cribrosus,124,63,233,133
Cosmos bipinnatus,90,82,246,147
Cosmos sulphureus,109,72,281,127
Cottus bairdi,133,63,267,161
Cottus bairdii,56,69,246,134
Cottus carolinae,65,92,258,176
Cottus gulosus,89,41,265,192
Coturnicops noveboracensis,87,18,204,143
Couesius plumbeus,84,47,266,146
Crassula solierii,86,63,249,159
Crataegus calpodendron,121,108,241,173
Crataegus crus-galli,123,50,248,143
Crataegus douglasii var. douglasii,82,57,282,144
Crataegus flabellata,103,49,249,147
Crataegus intricata,90,98,254,127
Crataegus iracunda,115,91,248,108
Crataegus macrosperma,69,66,285,137
Crataegus mollis,87,76,253,164
Crataegus pinetorum,109,77,232,134
Crataegus pruinosa,91,68,248,120
Crataegus punctata,104,97,238,109
Crataegus uniflora,61,91,226,129
Cratoneuron filicinum,96,51,265,132
Crepis acuminata,95,81,291,116
Crepis atribarba,110,92,265,162
Crepis capillaris,210,113,482,274
Crepis elegans,133,72,259,159
Crepis intermedia,103,59,229,117
Crepis modocensis,73,53,189,159
Crepis nana,86,77,256,146
Crepis occidentalis,83,106,255,160
Crepis occidentalis ssp. costata,131,83,229,140
Crepis pulchra,106,74,284,166
Crepis tectorum,87,71,249,139
Crotalaria purshii,123,84,234,170
Crotalaria sagittalis,56,72,248,173
Crotalus horridus,89,64,268,153
Crotalus oreganus oreganus,114,59,249,129
Crotalus viridis viridis,120,55,240,120
Croton glandulosus var. septentrionalis,64,104,264,172
Croton monanthogynus,111,103,249,173
Cruciata pedemontana,99,85,247,143
Cryphaea glomerata,95,73,232,168
Cryphaea nervosa,90,71,243,169
Cryptantha affinis,105,41,258,153
Cryptantha ambigua,78,96,226,159
Cryptantha celosioides,57,54,241,152
Cryptantha echinella,89,82,252,133
Cryptantha fendleri,112,80,316,121
Cryptantha flaccida,98,43,307,121
Cryptantha glomeriflora,77,62,257,173
Cryptantha hispidula,114,93,247,127
Cryptantha humilis,104,69,250,101
Cryptantha muricata,127,74,267,155
Cryptantha nubigena,91,30,237,145
Cryptantha simulans,92,61,291,124
Cryptantha spiculifera,102,112,241,124
Cryptantha torreyana,117,76,252,155
Cryptantha watsonii,120,76,230,182
Cryptobranchus alleganiensis alleganiensis,95,58,224,111
Cryptogramma acrostichoides,99,78,214,122
Cryptogramma cascadensis,110,79,244,149
Cryptogramma stelleri,90,107,207,143
Cryptotaenia canadensis,52,52,264,168
Cryptotis parva,153,68,277,152
Ctenidium malacodes,58,98,274,149
Ctenidium molluscum,142,52,260,151
Cucumis melo,80,68,202,152
Cucurbita pepo,94,54,247,164
Cunila origanoides,128,62,274,151
Cuphea viscosissima,116,94,261,130
Cuscuta californica var. breviflora,107,101,261,152
Cuscuta californica var. californica,71,65,252,133
Cuscuta compacta,82,108,231,140
Cuscuta gronovii,95,97,254,153
Cuscuta pentagona var. pentagona,118,90,263,152
Cuscuta rostrata,103,94,270,134
Cuscuta suksdorfii,72,63,271,135
Cyanocitta cristata,97,105,257,144
Cyanocitta stelleri,95,48,230,160
Cygnus buccinator,103,34,213,131
Cygnus columbianus,136,114,267,166
Cygnus cygnus,123,54,244,114
Cymophyllus fraserianus,144,70,234,132
Cymopterus cinerarius,112,71,223,144
Cymopterus nivalis,86,89,241,153
Cynanchum laeve,70,36,236,114
Cynodon dactylon,175,114,514,328
Cynoglossum grande,90,87,233,131
Cynoglossum occidentale,120,75,234,170
Cynoglossum officinale,183,161,488,251
Cynoglossum virginianum,117,95,236,158
Cynosurus cristatus,77,59,275,153
Cynosurus echinatus,75,56,246,135
Cyperus bipartitus,106,77,245,156
Cyperus croceus,96,94,268,179
Cyperus dipsaceus,85,78,221,149
Cyperus echinatus,103,97,216,128
Cyperus eragrostis,99,39,259,132
Cyperus esculentus,149,150,525,273
Cyperus flavescens,121,70,260,140
Cyperus iria,101,58,243,109
Cyperus lancastriensis,79,90,251,136
Cyperus lupulinus ssp. lupulinus,83,88,260,138
Cyperus polystachyos var. texensis,104,98,253,155
Cyperus pseudovegetus,108,91,243,159
Cyperus refractus,93,66,222,156
Cyperus retrofractus,83,44,273,161
Cyperus retrorsus,143,63,262,164
Cyperus retrorsus var. robustus,107,108,259,118
Cyperus rivularis,123,80,232,152
Cyperus rotundus,83,66,247,117
Cyperus setigerus,98,77,246,152
Cyperus squarrosus,112,106,287,151
Cyperus strigosus,112,53,233,128
Cyprinella galactura,115,100,232,115
Cyprinella galacturus,112,78,225,143
Cyprinella spiloptera,103,95,227,172
Cyprinella spilopterus,80,78,219,166
Cyprinella venusta,120,79,214,152
Cyprinella venustus,125,67,223,139
Cyprinus carpio,107,31,258,138
Cypripedium acaule,75,66,225,168
Cypripedium montanum,109,43,252,136
Cypripedium parviflorum var. pubescens,70,91,241,148
Cypseloides niger,103,69,194,159
Cyrto-hypnum minutulum,115,99,241,167
Cyrto-hypnum pygmaeum,96,88,249,125
Cystopteris bulbifera,76,60,245,184
Cystopteris fragilis,92,83,270,178
Cystopteris protrusa,79,46,280,160
Cystopteris tennesseensis,119,65,239,135
Cytisus scoparius,94,104,247,116
Dactylis glomerata,194,130,483,335
Danthonia californica,109,71,274,170
Danthonia californica var. californica,94,118,252,147
Danthonia compressa,76,63,242,159
Danthonia epilis,123,95,266,141
Danthonia intermedia,103,95,240,135
Danthonia sericea,111,113,218,119
Danthonia spicata,179,159,491,312
Danthonia unispicata,87,74,271,146
Darmera peltata,84,75,262,97
Datisca glomerata,90,85,228,147
Datura stramonium,94,102,218,127
Datura wrightii,64,123,249,133
Daucus carota,212,174,477,294
Daucus pusillus,80,92,251,139
Decumaria barbara,82,89,229,153
Delphinium bicolor ssp. bicolor,91,75,230,128
Delphinium depauperatum,90,101,222,132
Delphinium exaltatum,107,59,225,132
Delphinium glaucum,98,106,272,114
Delphinium gracilentum,110,75,265,159
Delphinium hansenii ssp. hansenii,73,56,284,136
Delphinium nudicaule,104,66,261,160
Delphinium nuttallianum,131,86,268,133
Delphinium patens ssp. patens,122,94,253,176
Delphinium polycladon,88,83,274,118
Delphinium tricorne,124,67,218,133
Dendragapus fuliginosus,106,77,261,172
Dendragapus obscurus,112,54,235,136
Dendroica caerulescens,94,84,261,183
Dendroica castanea,98,94,252,171
Dendroica cerulea,99,86,255,163
Dendroica coronata,107,88,253,166
Dendroica discolor,117,97,280,148
Dendroica dominica,131,48,275,160
Dendroica fusca,129,47,239,140
Dendroica magnolia,99,80,255,163
Dendroica palmarum,87,121,218,166
Dendroica pensylvanica,137,88,247,171
Dendroica petechia,75,93,220,136
Dendroica pinus,113,103,284,132
Dendroica striata,110,76,241,134
Dendroica tigrina,78,63,220,106
Dendroica virens,109,72,253,152
Dendromecon rigida,131,92,255,149
Dennstaedtia punctilobula,83,67,262,125
Deparia acrostichoides,92,96,210,152
Deschampsia cespitosa,127,75,231,164
Deschampsia cespitosa ssp. cespitosa,80,104,260,172
Deschampsia danthonioides,76,57,233,186
Deschampsia elongata,87,71,265,114
Deschampsia flexuosa,115,74,251,158
Descurainia californica,107,102,208,119
Descurainia incana,87,83,255,141
Descurainia pinnata ssp. menziesii,68,71,263,159
Descurainia sophia,78,61,219,130
Desmanthus illinoensis,119,104,291,134
Desmodium canescens,105,48,236,158
Desmodium ciliare,101,70,265,157
Desmodium cuspidatum,110,26,251,120
Desmodium glabellum,96,51,246,130
Desmodium glutinosum,118,76,255,124
Desmodium laevigatum,113,61,288,142
Desmodium marilandicum,82,71,229,114
Desmodium nudiflorum,135,98,253,144
Desmodium nuttallii,97,63,222,161
Desmodium ochroleucum,109,74,272,149
Desmodium paniculatum var. paniculatum,122,69,206,130
Desmodium pauciflorum,101,76,219,152
Desmodium perplexum,119,49,257,172
Desmodium rotundifolium,86,59,245,155
Desmodium viridiflorum,73,81,255,147
Desmognathus conanti,92,48,238,143
Desmognathus imitator,103,65,245,117
Desmognathus marmoratus,96,79,237,153
Desmognathus monticola,76,88,236,128
Desmognathus ocoee,55,39,239,156
Desmognathus quadramaculatus,117,58,255,172
Desmognathus santeetlah,71,92,254,184
Desmognathus wrighti,95,85,201,127
Diadophis punctatus,76,49,245,162
Diadophis punctatus edwardsii,129,61,255,170
Dianthus armeria,158,161,473,264
Dianthus barbatus,195,185,499,261
Diarrhena americana,94,83,236,127
Dicentra canadensis,117,74,243,148
Dicentra chrysantha,107,98,253,136
Dicentra cucullaria,102,79,252,142
Dicentra eximia,144,114,263,128
Dicentra formosa,97,73,248,99
Dicentra pauciflora,75,45,232,158
Dicentra uniflora,124,72,245,119
Dichanthelium acuminatum,71,82,235,188
Dichanthelium acuminatum var. acuminatum,87,62,225,123
Dichanthelium acuminatum var. fasciculatum,81,88,257,170
Dichanthelium acuminatum var. lindheimeri,98,58,259,135
Dichanthelium boscii,87,53,262,140
Dichanthelium clandestinum,75,80,249,159
Dichanthelium commutatum,72,88,230,102
Dichanthelium depauperatum,80,88,255,162
Dichanthelium dichotomum var. dichotomum,105,131,242,168
Dichanthelium dichotomum var. ensifolium,89,84,237,159
Dichanthelium latifolium,89,88,242,193
Dichanthelium laxiflorum,117,59,239,156
Dichanthelium linearifolium,119,71,242,147
Dichanthelium longiligulatum,116,76,220,170
Dichanthelium meridionale,100,101,226,144
Dichanthelium sabulorum var. thinium,77,119,223,139
Dichanthelium scabriusculum,100,94,257,155
Dichanthelium scoparium,99,69,194,171
Dichanthelium sphaerocarpon,102,71,234,148
Dichanthelium sphaerocarpon var. isophyllum,116,88,259,144
Dichanthelium sphaerocarpon var. sphaerocarpon,106,76,236,167
Dichanthelium villosissimum var. villosissimum,57,71,254,155
Dichelostemma capitatum ssp. capitatum,110,88,252,140
Dichelostemma multiflorum,107,112,252,162
Dichelostemma volubile,116,67,206,127
Dichodontium pellucidum,90,87,266,146
Dicranella heteromalla,97,74,229,145
Dicranella rufescens,59,78,255,171
Dicranella varia,78,82,241,141
Dicranodontium asperulum,104,64,279,163
Dicranodontium denudatum,110,67,249,179
Dicranum condensatum,83,119,235,148
Dicranum flagellare,107,96,264,105
Dicranum fulvum,91,63,267,123
Dicranum fuscescens,100,97,227,158
Dicranum montanum,81,58,242,118
Dicranum polysetum,111,98,272,171
Dicranum scoparium,115,82,249,174
Dicranum spurium,106,47,248,132
Dicranum undulatum,92,64,238,166
Dicranum viride,77,61,252,115
Didelphis virginiana,208,174,465,290
Didymodon fallax,84,81,245,137
Didymodon fallax var. reflexus,91,67,208,163
Didymodon rigidulus,88,71,232,167
Diervilla lonicera,104,93,246,173
Diervilla sessilifolia,102,81,231,190
Digitalis purpurea,157,114,503,291
Digitaria ciliaris,91,87,233,155
Digitaria filiformis,83,81,274,167
Digitaria ischaemum,171,94,498,297
Digitaria sanguinalis,209,147,489,281
Digitaria violascens,112,78,270,132
Diodia teres,88,102,266,125
Diodia virginiana,87,83,243,125
Dioscorea oppositifolia,96,41,230,161
Dioscorea quaternata,102,58,201,150
Dioscorea villosa,121,68,242,139
Diospyros virginiana,71,97,238,145
Diphylleia cymosa,117,50,257,185
Diphyscium cumberlandianum,93,51,250,123
Diphyscium foliosum,95,36,239,152
Diplazium pycnocarpon,96,74,270,133
Dipsacus fullonum,233,113,495,321
Dirca palustris,78,93,236,154
Disporum hookeri,92,47,242,139
Distichlis spicata,103,84,241,147
Ditrichum lineare,46,63,255,163
Ditrichum pallidum,121,69,267,130
Ditrichum pusillum,115,98,235,160
Ditrichum rhynchostegium,94,81,232,153
Dodecatheon alpinum,99,85,206,159
Dodecatheon conjugens,89,75,240,152
Dodecatheon hendersonii,101,26,268,161
Dodecatheon jeffreyi,118,61,225,128
Dodecatheon meadia,116,63,269,185
Dodecatheon pulchellum var. pulchellum,98,45,254,160
Dodecatheon subalpinum,114,71,206,149
Doellingeria infirma,104,68,262,166
Doellingeria umbellata var. umbellata,109,72,220,159
Dolichonyx oryzivorus,101,61,256,127
Dorosoma cepedianum,98,52,267,116
Douglasia montana,75,47,236,117
Downingia montana,94,64,259,141
Draba albertina,88,93,239,191
Draba aurea,100,66,242,157
Draba borealis,97,59,248,131
Draba brachycarpa,86,100,266,112
Draba breweri,100,97,238,109
Draba crassa,74,53,248,115
Draba crassifolia,61,55,268,119
Draba densifolia,135,101,269,161
Draba globosa,83,39,269,199
Draba incerta,105,62,238,105
Draba lemmonii var. lemmonii,111,101,257,168
Draba lonchocarpa var. lonchocarpa,88,44,232,180
Draba nemorosa,111,48,225,174
Draba oligosperma,167,34,234,149
Draba paysonii var. paysonii,99,27,219,175
Draba paysonii var. treleasii,102,59,247,117
Draba praealta,97,92,272,101
Draba ramosissima,99,101,232,168
Draba reptans,97,100,253,124
Draba ventosa,128,118,240,137
Draba verna,203,173,485,281
Dracocephalum parviflorum,80,95,316,116
Dracocephalum thymiflorum,117,49,297,110
Draperia systyla,79,77,262,138
Drosera anglica,102,100,257,134
Drosera rotundifolia,210,131,541,255
Drummondia prorepens,71,70,236,183
Dryocopus pileatus,74,60,237,111
Dryopteris X separabilis,96,92,275,186
Dryopteris arguta,79,84,249,173
Dryopteris campyloptera,121,40,244,182
Dryopteris celsa,61,75,234,161
Dryopteris cristata,105,96,284,156
Dryopteris expansa,76,48,246,136
Dryopteris filix-mas,80,78,279,155
Dryopteris goldiana,79,32,248,148
Dryopteris intermedia,104,87,254,147
Dryopteris marginalis,111,44,284,146
Duchesnea indica,116,34,245,168
Dudleya cymosa ssp. cymosa,109,88,304,115
Dulichium arundinaceum,218,147,515,318
Dumetella carolinensis,212,140,464,284
Echinochloa colona,102,31,232,156
Echinochloa crus-galli,228,124,489,331
Echinochloa muricata var. muricata,143,75,268,162
Echium vulgare,128,52,228,128
Eclipta prostrata,147,82,253,142
Ectopistes migratorius,114,55,230,177
Egretta caerulea,78,89,260,146
Egretta thula,122,66,244,168
Egretta tricolor,107,82,248,151
Elaeagnus angustifolia,125,57,259,157
Elaeagnus commutata,95,85,242,112
Elaeagnus umbellata,102,85,237,176
Elanoides forficatus,94,26,229,119
Elanus leucurus,71,87,214,136
Elaphe guttata guttata,112,100,270,167
Elaphe obsoleta obsoleta,102,75,232,142
Elatine rubella,63,101,239,136
Eleocharis,105,58,212,191
Eleocharis acicularis,197,171,501,357
Eleocharis acicularis var. acicularis,46,50,241,134
Eleocharis bolanderi,90,76,229,146
Eleocharis decumbens,92,83,239,148
Eleocharis flavescens var. thermalis,126,81,240,156
Eleocharis macrostachya,70,90,246,180
Eleocharis microcarpa,103,116,216,184
Eleocharis obtusa,72,45,271,165
Eleocharis palustris,183,124,518,299
Eleocharis parishii,87,75,271,183
Eleocharis quadrangulata,108,110,243,169
Eleocharis quinqueflora,106,43,243,142
Eleocharis rostellata,116,64,249,150
Eleocharis tenuis var. verrucosa,108,61,291,143
Eleocharis tuberculosa,60,83,252,145
Elephantopus carolinianus,59,85,222,160
Elephantopus tomentosus,96,67,267,131
Eleusine indica,117,49,253,146
Elgaria coerulea palmeri,115,98,269,122
Elgaria multicarinata webbii,72,70,232,157
Ellisia nyctelea,94,85,190,145
Elodea canadensis,93,102,222,182
Elodea nuttallii,213,167,503,329
Elsholtzia ciliata,106,53,255,167
Elymus canadensis var. canadensis,106,49,243,161
Elymus elymoides ssp. californicus,93,45,239,126
Elymus elymoides ssp. elymoides,103,97,208,156
Elymus glaucus,116,91,246,149
Elymus glaucus ssp. glaucus,70,56,236,178
Elymus glaucus ssp. jepsonii,101,95,257,161
Elymus hystrix var. hystrix,106,89,234,166
Elymus multisetus,114,39,256,137
Elymus repens,127,76,257,128
Elymus riparius,100,72,220,158
Elymus scribneri,102,97,242,138
Elymus sierrae,96,52,252,145
Elymus stebbinsii,130,49,275,148
Elymus trachycaulus ssp. subsecundus,129,58,262,146
Elymus trachycaulus ssp. trachycaulus,85,57,242,151
Elymus trachycaulus var. trachycaulus,135,77,272,149
Elymus villosus,100,101,272,123
Elymus virginicus var. virginicus,95,80,264,112
Elytrigia repens var. repens,107,97,243,143
Empidonax alnorum,85,62,228,143
Empidonax difficilis,98,93,261,160
Empidonax flaviventris,89,82,266,182
Empidonax hammondii,111,54,275,153
Empidonax minimus,97,47,257,120
Empidonax oberholseri,79,48,214,133
Empidonax occidentalis,128,42,237,135
Empidonax traillii,109,94,229,121
Empidonax virescens,96,70,247,136
Empidonax wrightii,208,153,452,267
Ensatina eschscholtzii platensis,89,70,270,173
Ensatina eschscholtzii xanthoptica,92,71,268,133
Entodon brevisetus,119,65,235,167
Entodon cladorrhizans,90,62,273,135
Entodon concinnus,86,80,289,132
Entodon macropodus,94,40,216,152
Entodon seductrix,91,74,233,165
Entodon sullivantii,85,64,237,165
Ephemerum spinulosum,103,53,287,152
Epifagus virginiana,80,97,249,164
Epigaea repens,98,81,234,160
Epilobium anagallidifolium,94,115,279,134
Epilobium angustifolium ssp. circumvagum,122,91,269,149
Epilobium brachycarpum,127,57,232,196
Epilobium canum ssp. garrettii,114,61,292,161
Epilobium canum ssp. latifolium,90,72,247,162
Epilobium ciliatum,79,79,249,149
Epilobium ciliatum ssp. ciliatum,199,182,477,272
Epilobium ciliatum ssp. glandulosum,87,87,231,147
Epilobium clavatum,85,91,242,130
Epilobium coloratum,89,84,233,152
Epilobium densiflorum,116,87,260,177
Epilobium foliosum,104,63,252,130
Epilobium glaberrimum ssp. fastigiatum,74,71,253,115
Epilobium glaberrimum ssp. glaberrimum,103,72,251,150
Epilobium halleanum,79,92,263,166
Epilobium hornemannii ssp. hornemannii,88,82,254,126
Epilobium howellii,85,85,228,126
Epilobium lactiflorum,88,55,239,113
Epilobium latifolium,101,73,275,135
Epilobium minutum,118,69,239,131
Epilobium obcordatum,137,85,269,163
Epilobium oreganum,60,69,212,121
Epilobium oregonense,101,42,247,140
Epilobium saximontanum,93,81,258,141
Epilobium suffruticosum,99,82,288,142
Epilobium torreyi,108,67,258,138
Epipactis gigantea,71,47,249,137
Epipactis helleborine,184,119,514,287
Eptesicus fuscus,184,146,463,254
Equisetum arvense,208,168,506,289
Equisetum fluviatile,88,56,253,122
Equisetum hyemale ssp. affine,127,58,266,195
Equisetum hyemale var. affine,139,65,496,312
Equisetum laevigatum,111,89,247,166
Equisetum scirpoides,88,108,227,144
Equisetum variegatum,141,91,219,166
Equus caballus,75,61,219,155
Eragrostis capillaris,113,79,264,97
Eragrostis cilianensis,197,186,494,289
Eragrostis curvula,142,68,235,148
Eragrostis frankii,107,73,265,133
Eragrostis hirsuta,101,84,267,136
Eragrostis hypnoides,117,56,226,163
Eragrostis mexicana ssp. virescens,90,91,268,156
Eragrostis pilosa,92,36,240,169
Eragrostis pilosa var. pilosa,92,84,257,176
Eragrostis spectabilis,117,67,216,145
Erechtites hieracifolia,104,115,240,134
Erechtites hieraciifolia,109,69,243,160
Erechtites hieraciifolia var. hieraciifolia,87,69,278,172
Eremocarpus setigerus,99,85,257,138
Eremophila alpestris,114,97,233,193
Erethizon dorsatum,210,155,462,294
Eriastrum sparsiflorum,62,86,243,163
Ericameria arborescens,73,59,266,160
Ericameria bloomeri,172,94,254,159
Ericameria cuneata var. cuneata,100,60,247,166
Ericameria discoidea,105,71,239,155
Ericameria discoidea var. linearis,90,95,246,151
Ericameria nauseosa var. nauseosa,118,52,235,117
Ericameria nauseosa var. oreophila,109,33,279,128
Ericameria suffruticosa,127,38,254,148
Erigenia bulbosa,124,60,251,150
Erigeron,140,80,242,138
Erigeron acris var. kamtschaticus,97,97,259,123
Erigeron algidus,91,65,275,135
Erigeron annuus,208,157,546,292
Erigeron barbellulatus,83,102,226,148
Erigeron breweri var. breweri,73,93,228,149
Erigeron caespitosus,93,99,246,141
Erigeron clokeyi,127,121,253,132
Erigeron compactus,97,80,233,148
Erigeron compositus,140,100,251,147
Erigeron corymbosus,97,31,222,160
Erigeron coulteri,121,93,238,151
Erigeron divergens,107,94,260,118
Erigeron eatonii var. eatonii,67,64,285,181
Erigeron eatonii var. sonnei,88,75,265,166
Erigeron elmeri,130,75,257,105
Erigeron foliosus var. hartwegii,53,62,194,159
Erigeron formosissimus var. viscidus,109,84,253,121
Erigeron glabellus var. glabellus,131,81,277,123
Erigeron gracilis,118,65,221,145
Erigeron inornatus var. inornatus,83,89,261,174
Erigeron linearis,85,83,278,143
Erigeron lonchophyllus,82,49,286,109
Erigeron ochroleucus var. ochroleucus,103,58,243,143
Erigeron ochroleucus var. scribneri,110,85,251,116
Erigeron peregrinus,73,47,255,143
Erigeron peregrinus var. callianthemus,122,90,264,156
Erigeron peregrinus var. hirsutus,53,83,274,125
Erigeron philadelphicus,115,54,251,185
Erigeron pulchellus,128,84,276,127
Erigeron pumilus var. gracilior,101,64,229,164
Erigeron pygmaeus,115,76,210,133
Erigeron rydbergii,138,129,225,204
Erigeron simplex,70,61,275,163
Erigeron speciosus,107,104,243,155
Erigeron strigosus,163,150,527,313
Erigeron tener,90,62,228,175
Erigeron tweedyi,104,100,236,158
Erigeron ursinus,126,82,222,171
Erigeron vagus,84,38,249,187
Erimonax monachus,46,18,109,69
Eriodictyon californicum,95,76,245,162
Eriogonum caespitosum,77,75,254,161
Eriogonum cernuum var. cernuum,108,84,263,160
Eriogonum flavum var. flavum,89,49,280,129
Eriogonum flavum var. piperi,90,97,292,135
Eriogonum heracleoides var. heracleoides,119,62,283,149
Eriogonum hirtiflorum,81,76,239,134
Eriogonum incanum,120,85,265,135
Eriogonum lobbii var. lobbii,85,89,274,128
Eriogonum marifolium,96,83,220,152
Eriogonum nudum,90,86,228,153
Eriogonum nudum var. deductum,88,62,279,150
Eriogonum nudum var. nudum,122,73,248,166
Eriogonum nudum var. scapigerum,77,100,255,115
Eriogonum ovalifolium var. nivale,149,70,262,136
Eriogonum ovalifolium var. purpureum,114,82,272,139
Eriogonum prattenianum var. avium,56,84,245,161
Eriogonum prattenianum var. prattenianum,97,70,253,143
Eriogonum rosense,107,113,260,165
Eriogonum roseum,78,73,263,138
Eriogonum spergulinum var. reddingianum,104,86,242,133
Eriogonum spergulinum var. spergulinum,111,70,232,133
Eriogonum umbellatum var. cladophorum,102,62,251,166
Eriogonum umbellatum var. covillei,71,71,270,175
Eriogonum umbellatum var. dichrocephalum,82,48,264,144
Eriogonum umbellatum var. furcosum,103,46,288,133
Eriogonum umbellatum var. majus,119,75,245,140
Eriogonum umbellatum var. nevadense,140,63,246,140
Eriogonum umbellatum var. umbellatum,81,59,230,156
Eriogonum wrightii var. subscaposum,92,63,220,129
Eriogonum wrightii var. trachygonum,101,79,283,174
Eriophorum angustifolium,108,92,223,144
Eriophorum chamissonis,96,101,221,154
Eriophorum crinigerum,114,87,266,155
Eriophorum gracile,100,66,261,113
Eriophorum viridicarinatum,83,38,305,146
Eriophyllum confertiflorum var. confertiflorum,115,99,250,123
Eriophyllum congdonii,123,82,235,131
Eriophyllum lanatum,98,61,279,166
Eriophyllum lanatum var. croceum,99,84,255,138
Eriophyllum lanatum var. grandiflorum,86,71,272,146
Eriophyllum lanatum var. integrifolium,105,86,265,117
Eriophyllum nubigenum,133,59,234,118
Eritrichium nanum var. elongatum,93,44,229,138
Erodium botrys,65,88,281,178
Erodium brachycarpum,144,57,247,167
Erodium cicutarium,189,152,465,319
Eryngium integrifolium,80,63,223,135
Eryngium prostratum,84,81,265,174
Eryngium yuccifolium,92,91,242,133
Erysimum asperum,85,90,224,112
Erysimum capitatum,73,75,251,100
Erysimum cheiranthoides,166,128,543,288
Erysimum inconspicuum,93,47,239,191
Erythronium americanum,102,74,246,128
Erythronium purpurascens,105,83,277,122
Erythronium umbilicatum ssp. umbilicatum,95,59,218,155
Eschscholzia caespitosa,94,92,264,151
Eschscholzia californica,71,53,235,129
Eschscholzia hypecoides,106,48,245,141
Esox masquinongy,126,87,233,139
Etheostoma blennioides,141,24,222,203
Etheostoma camurum,104,76,252,146
Etheostoma chlorobranchium,102,54,256,162
Etheostoma flabellare,104,75,264,156
Etheostoma gutselli,100,104,244,102
Etheostoma jessiae,104,62,252,150
Etheostoma maculatum,114,62,256,153
Etheostoma percnurum,25,31,70,40
Etheostoma rufilineatum,97,94,264,126
Etheostoma sanguifluum,89,59,300,136
Etheostoma simoterum,137,22,217,181
Etheostoma stigmaeum,95,61,230,147
Etheostoma swannanoa,88,60,293,144
Etheostoma vulneratum,106,92,257,136
Etheostoma zonale,80,73,248,133
Eucephalus elegans,102,68,259,122
Eucephalus engelmannii,111,83,258,154
Eucladium verticillatum,108,85,261,162
Euclidium syriacum,122,55,226,164
Euderma maculatum,74,94,225,111
Eumeces anthracinus,84,59,237,159
Eumeces fasciatus,79,99,257,117
Eumeces gilberti,89,71,259,153
Eumeces inexpectatus,145,77,234,141
Eumeces laticeps,85,63,257,135
Eumeces skiltonianus,101,55,250,181
Eumops perotis,113,40,258,172
Euonymus alatus,139,69,239,161
Euonymus americana,110,50,227,149
Euonymus atropurpurea,104,64,229,154
Euonymus atropurpureus,94,79,249,137
Euonymus fortunei,103,91,263,137
Euonymus obovata,126,59,255,140
Eupatorium,110,93,274,144
Eupatorium album,105,69,242,149
Eupatorium altissimum,74,27,238,148
Eupatorium capillifolium,84,106,237,161
Eupatorium coelestinum,106,81,261,142
Eupatorium fistulosum,107,70,219,135
Eupatorium hyssopifolium,132,91,277,163
Eupatorium maculatum,89,89,254,123
Eupatorium perfoliatum,137,76,270,153
Eupatorium pilosum,50,66,232,140
Eupatorium purpureum,127,65,266,155
Eupatorium rotundifolium,97,85,219,161
Eupatorium rotundifolium var. ovatum,97,80,279,115
Eupatorium rotundifolium var. rotundifolium,86,117,261,129
Eupatorium rugosum,96,77,247,136
Eupatorium serotinum,80,78,241,118
Eupatorium sessilifolium,89,79,292,148
Eupatorium steelei,101,81,272,93
Euphagus carolinus,109,93,246,175
Euphagus cyanocephalus,79,99,241,119
Euphorbia commutata,43,108,259,194
Euphorbia corollata,121,53,234,121
Euphorbia crenulata,120,107,274,161
Euphorbia cyparissias,105,104,257,158
